id,start_time,stop_time,cue_start_time,pole_in_time,pole_out_time,type,response,stim_present,is_good
1,323.171,,7.49698,3.93949,5.12748,lick right,early lick,0,1
2,329.57,,11.8128,4.94181,5.94198,lick right,early lick,0,1
3,335.971,,6.62964,4.12915,5.12931,lick right,incorrect,0,1
4,342.371,,6.41964,3.91915,4.91931,lick right,incorrect,0,1
5,348.289,,12.6699,10.1693,11.1695,lick right,incorrect,0,1
6,355.171,,6.48931,3.98882,4.98898,lick right,incorrect,0,1
7,361.571,,6.59331,4.09282,5.09298,lick right,incorrect,0,1
8,367.971,,7.1068,4.60632,5.60648,lick right,no response,0,1
9,374.371,,6.71514,4.21448,5.21465,lick right,incorrect,0,1
10,380.771,,7.03563,4.53498,5.53514,lick right,incorrect,0,1
11,387.171,,6.3883,3.88765,4.88781,lick right,correct,0,1
12,393.571,,7.68014,5.17965,6.17981,lick right,correct,0,1
13,399.971,,7.23147,4.73098,5.73114,lick right,correct,0,1
14,406.371,,7.24897,4.74848,5.74864,lick left,correct,0,1
15,412.771,,6.51681,4.01615,5.01631,lick left,correct,0,1
16,419.171,,7.23064,4.73015,5.73031,lick left,correct,0,1
17,425.57,,6.37297,3.87248,4.87265,lick right,incorrect,0,1
18,431.971,,7.51714,5.01649,6.01664,lick right,incorrect,0,1
19,438.371,,6.43097,3.93032,4.93048,lick right,correct,0,1
20,444.771,,7.2628,4.76231,5.76248,lick right,correct,0,1
21,451.17,,7.49314,4.99248,5.99264,lick right,incorrect,0,1
22,457.57,,6.30764,3.80715,4.80731,lick right,correct,0,1
23,463.971,,6.52381,4.02332,5.02348,lick left,incorrect,0,1
24,470.37,,6.42364,3.92299,4.92315,lick left,correct,0,1
25,476.771,,7.28047,4.77981,5.77998,lick left,correct,0,1
26,483.17,,6.47664,3.97598,4.97615,lick left,correct,0,1
27,489.571,,9.78662,3.99032,8.28613,lick right,early lick,0,1
28,495.97,,7.29497,4.79431,5.79448,lick right,correct,0,1
29,502.37,,7.23014,4.72948,5.72964,lick right,incorrect,0,1
30,508.77,,6.36981,3.86932,4.86948,lick left,correct,0,1
31,515.171,,6.43164,3.93098,4.93115,lick right,incorrect,0,1
32,521.57,,6.28797,3.78732,4.78748,lick right,correct,0,1
33,527.97,,7.76546,5.26481,6.26498,lick right,correct,0,1
34,534.37,,7.25413,4.75348,5.75364,lick left,correct,0,1
35,540.77,,7.1563,4.65565,5.65581,lick right,correct,0,1
36,547.17,,6.33297,3.83248,4.83265,lick right,correct,0,1
37,553.57,,7.3128,4.8123,5.81247,lick left,correct,0,1
38,559.971,,7.2843,4.78365,5.78381,lick right,incorrect,0,1
39,566.37,,7.14764,4.64698,5.64714,lick right,incorrect,0,1
40,572.771,,7.54064,5.03998,6.04014,lick right,incorrect,0,1
41,579.17,,6.83447,4.33398,5.33415,lick left,correct,0,1
42,585.57,,7.24547,4.74481,5.74498,lick right,incorrect,0,1
43,591.971,,6.63347,4.13282,5.13298,lick right,correct,0,1
44,598.37,,7.27314,4.77248,5.77265,lick right,incorrect,0,1
45,604.77,,6.38764,3.88698,4.88715,lick left,incorrect,0,1
46,611.17,,7.2788,4.77815,5.77831,lick right,incorrect,0,1
47,617.57,,6.50597,4.00548,5.00565,lick right,correct,0,1
48,623.97,,6.55281,4.05232,5.05248,lick left,correct,0,1
49,630.37,,6.36931,3.86882,4.86898,lick right,correct,0,1
50,636.769,,7.28914,4.78848,5.78864,lick left,correct,0,1
51,643.17,,7.5698,5.06915,6.06931,lick left,correct,0,1
52,649.57,,7.4033,4.90265,5.90281,lick left,correct,0,1
53,655.97,,6.59214,4.09165,5.09181,lick right,incorrect,0,1
54,662.37,,6.86897,4.36832,5.36848,lick right,incorrect,0,1
